epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,1822.54,0.72556,0.64564,0.99363,0.97365,0.99231,0.99438,0.814,0.72752,0.7294,0.92157,0.0004952,0.0004952,0.0004952
40,1873.1,0.72376,0.63592,0.94793,0.97559,0.98462,0.99221,0.82183,0.70948,0.72066,0.91836,0.0004556,0.0004556,0.0004556
41,1916.76,0.67472,0.93667,0.92748,0.99593,0.96923,0.99439,0.80711,0.72117,0.75185,0.91846,0.000416,0.000416,0.000416
42,1959.92,0.74059,0.88005,0.96195,0.97629,0.97692,0.99299,0.79443,0.74983,0.85313,0.92659,0.0003764,0.0003764,0.0003764
43,2005.32,0.7035,0.81092,0.93591,0.99722,0.99231,0.995,0.82502,0.68381,0.84343,0.90646,0.0003368,0.0003368,0.0003368
44,2049.89,0.63263,0.76284,0.9444,1,0.99151,0.995,0.83962,0.66502,0.76169,0.9024,0.0002972,0.0002972,0.0002972
45,2092.42,0.65452,0.73377,0.92713,0.98406,1,0.99492,0.83799,0.65532,0.69262,0.90289,0.0002576,0.0002576,0.0002576
46,2135.78,0.76297,0.79238,0.96076,0.98974,1,0.99485,0.81993,0.69469,0.67595,0.91535,0.000218,0.000218,0.000218
47,2179.86,0.72438,0.76014,0.95064,0.99084,1,0.99477,0.82595,0.67694,0.66634,0.9087,0.0001784,0.0001784,0.0001784
48,2232.77,0.68681,0.77548,0.93269,0.99074,1,0.99492,0.83509,0.645,0.64466,0.89612,0.0001388,0.0001388,0.0001388
49,2276.54,0.69158,0.73887,0.93303,0.98294,1,0.993,0.84153,0.62391,0.63354,0.88784,9.92e-05,9.92e-05,9.92e-05
50,2318.31,0.63839,0.6984,0.92679,0.98932,1,0.99263,0.85118,0.59996,0.62127,0.88264,5.96e-05,5.96e-05,5.96e-05
